Time,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,Yaw,Pitch,Roll
1755173944.4087477,-109.81556798600411,-64.40479048719786,-558.9955347862914,-0.420146105393222,0.29573707539922645,-0.8579142336837756,-0.022937096438419596,0.9416423985631832,0.33583252200337976,0.9071665446487113,0.16077678769800113,-0.3888440366106052,157.53619178785328,-65.11667951831551,-176.87514529945028
1755173944.452079,-105.08360136618339,-60.720234477055236,-558.540902606509,-0.4476258931995179,0.3089331860868758,-0.8391610967338425,-0.03565454026509518,0.9315147744065422,0.36195162497330113,0.8935098284270959,0.19193882253608907,-0.4059552621997173,154.6948494220187,-63.317658867454284,-175.44586056161478
1755173944.4895825,-102.09181043283508,-57.803072177247124,-560.1556169375026,-0.4502334061706304,0.32761064054085187,-0.8306389999105538,-0.03742938785996905,0.9225174451402491,0.38413617941601846,0.892126067824733,0.20404124979111532,-0.40308590584546555,153.15156167471713,-63.14163550135836,-175.24774064347068
1755173944.536711,-99.9477206210614,-55.91867632467526,-563.923448087404,-0.4821053697241388,0.31663637467856043,-0.8168940070251278,-0.04446847521746655,0.9223613410328955,0.38376048686626446,0.8749839811076456,0.22133902231286978,-0.43059501855757454,152.79544853162886,-61.043079854469674,-174.7300586782093
1755173944.58448,-98.54963290189654,-55.671864342286064,-569.4400655718348,-0.5189173158872569,0.28755033729900603,-0.8050090824280138,-0.05113165278528822,0.9295971198798549,0.3650133542687497,0.8532938376408268,0.23057319495185669,-0.4676811182995135,153.75607161140937,-58.57175338188549,-174.37251133554136
1755173944.6326346,-96.91747322485048,-55.41805111273133,-573.3128180461819,-0.5293902808017554,0.2812836816896981,-0.8003907926805051,-0.04574969242179297,0.9325981108103245,0.35800520856032986,0.8471439642917548,0.22614211047061222,-0.48083973383649103,154.81208771539173,-57.90237676105787,-175.0607935818421
1755173944.671264,-94.49673019318442,-55.69242552094959,-574.9278425688341,-0.5304405844347576,0.28269905884017643,-0.7991958636751014,-0.03990780232965935,0.9333841925791525,0.35665293543805393,0.8467822351099069,0.22107734206436053,-0.4838229584548755,155.44251378504944,-57.863393419689565,-175.69744643865647
1755173944.7273712,-92.93946873988659,-56.62460255109372,-580.2044229887424,-0.5517072115054461,0.27450043345974084,-0.7875713712440919,-0.020355828442946644,0.9395743446527511,0.341739215073065,0.8337894176716842,0.2045716571296416,-0.5127822579594054,158.25074412356182,-56.489993719309,-177.8869693406738
1755173944.777405,-91.1491206701447,-56.709551116119236,-580.8482710655771,-0.5646424125761075,0.28399043581687433,-0.77493766090233,-0.008408782404508597,0.9369081608319554,0.3494744490588071,0.8252928197304921,0.2038443782178574,-0.5266300705146533,158.83991566933219,-55.618189991556626,-179.14680137388385
1755173944.824747,-89.74147563791169,-56.89780673830845,-584.6145996594238,-0.6110846109313248,0.2902793634489177,-0.7364193706296722,0.010944223428766081,0.9333424968486823,0.35882029980173763,0.7914896223302317,0.2112100251691637,-0.5735281187627932,159.78304059685576,-52.32493772297725,178.97397059067558
